1=>496	0.504913:-0.312742:0.327588
2=>451	-0.406163:-0.679168:0.807975
18=>496	0.64716:-1.324008:0.842972
33=>496	-0.025099:-1.075706:0.622619
60=>451	0.274296:-0.003933:0.463536
68=>451	0.148139:-0.282348:0.415972
127=>100	0.47347886178324156:-0.26202649544954415:0.5086865864942695
133=>100	-0.0034473556553823582:-0.17295510435678524:0.38286935310776965
147=>100	-0.07577397897051018:-0.2748831787351501:0.5540491574574462
151=>100	0.22363014456934446:0.1345324719554873:0.5272020438568836
162=>100	0.24812726350434713:-0.18951896723251818:0.6553758514970751
172=>100	0.18823939072371673:-0.46000037547839967:0.44699809489411957
184=>100	0.32115742313090306:-0.12594013219347547:0.428281848858479
189=>100	0.745137103491909:-0.01830556440854629:0.47356265447021834
190=>100	0.22664353497667045:-0.7901390462275278:0.46561372778265897
200=>100	0.25291795698197:-0.6489186959599489:0.4572883532314739
208=>100	0.3155991888375012:0.04933791992006733:0.688125635225977
227=>496	-0.301444:0.266161:1.25161
245=>100	0.3828267664570778:0.08025440753069497:0.3626105055515669
248=>451	-0.225479:0.142091:1.19747
262=>100	0.41454760019838743:-0.5616015612924211:0.44802927602501263
294=>100	0.20636829224790307:-0.5434318113706158:0.6066658011567904
306=>100	0.5314188696660478:-0.6818310842319601:0.48274337265760847
309=>100	-0.5050336885225151:-0.8082436519829153:0.6027647614076245
313=>100	0.007598152470874633:0.12619854374821415:0.6629572001461157
314=>100	-0.025230277864052034:0.08059645522280973:0.6377563222378614
338=>496	-0.29506:0.146854:1.098763
354=>100	0.23809448534237998:0.17727702912142254:0.6872960878419384
385=>100	0.14981096455127235:-0.9016158890807143:0.4952461323753293
408=>100	0.4245958755913027:-0.9243711689840018:0.4633125923729481
422=>100	0.6512255598196102:-0.05529732961265181:0.4641568775981182
433=>100	0.4331791463898259:-0.18965700496277518:0.3211113019939406
446=>100	0.4223809018352583:-0.2078823241377508:0.5333967719894153
468=>451	0.25065912989326794:-0.9882772220799456:0.6141438558285016
512=>496	0.3813141337048782:0.11539138191530086:0.8840693357898673
513=>496	0.4193082004964423:-0.44345801628539144:0.38329390516695516
516=>496	-0.011210455585950206:-0.8727666312535143:0.6545869196514194
517=>496	-0.19267919899678077:0.11021766327341061:0.7415872488522083
523=>496	0.4386278802482067:0.1936653644955323:0.7492354052689231
538=>496	0.3370094766323268:-0.21091288209998:0.7786239690045371
541=>100	0.12983366683783348:0.11024578092674461:0.7063279212133584
556=>451	-0.24411253065647634:-1.6537358124679176:0.7129413106713055
561=>496	0.5402548174678681:-0.3004010670248289:0.7461712089839014
573=>451	0.1682277315629696:-0.02629434483233548:0.4099076314143371
577=>451	0.1064196861779766:0.10647834178184089:0.484757056729664
585=>496	0.3810774620194766:0.06799098388253345:0.5140317825851172
586=>496	0.3760123272419737:-1.416071180053741:0.669086081938958
636=>496	0.29074037147456633:-0.5708292233025591:0.4421368829261326
637=>451	-0.14913279430377918:-0.09867029423153613:0.7224306033162455
663=>496	0.3083756211728914:-0.7744876652403331:0.4572070228827543
670=>496	0.4923137426892906:0.14191705381364947:0.6565522602468111
685=>496	0.4583970981492758:-0.3833581332133054:0.35302320244998103
689=>451	-0.06802476991171982:0.00047843063625016086:0.6953933666426756
690=>100	0.39668182326792595:-0.11270509729724232:0.5086107805141038
693=>496	0.03768538290834485:0.26873508353221953:0.8374157350416614
710=>496	0.2774300093439152:0.13237114662061733:0.4928225326347081
724=>496	0.09538419614051039:-0.2378439223720031:0.6846951463330466
729=>100	0.010284498267639988:0.06071876321816304:0.4234046219695343
744=>496	0.4257420033241749:0.24302364234591772:0.6784030392456157
746=>496	0.22275035777928248:-0.002333683958274388:0.7465399738561701
748=>451	0.1681863782788771:-0.29327795674183155:0.46019328117809477
751=>496	0.2580715139259123:0.16250443186742478:0.5252583614565414
762=>496	0.23162019643762746:-0.006355588674649748:0.4312382056350759
765=>100	0.27282293521703765:-0.3903856495456032:0.5404660438696288
771=>496	-0.06362076824136166:-0.0608617739981768:0.7804792767142447
777=>496	0.27279687541107445:0.1000941318532649:0.44591119500187065
783=>709	0.36743056283267644:-0.02480109949458717:0.6717342296954895
785=>496	0.26955964087216755:-0.06899706155798503:0.6786240219331283
786=>100	0.3589995924219285:0.0804832388870744:0.3892818256383346
787=>496	0.15151243052747043:0.20023532842898162:0.7183407478070853
793=>496	0.545095200220233:-0.6927757307057328:0.401299246440275
798=>451	-0.2349773680115664:-0.10833981686516249:0.787473501516674
811=>496	-0.091102768769239:-0.09834714489988503:0.6868009225109991
812=>100	0.49507387657748364:-0.817953376865854:0.6109541637748169
827=>496	0.479637613146466:-0.2171616741699941:0.46788572733304196
833=>496	0.7187232035332467:-0.3412002181927422:0.527035609160933
844=>709	-0.1975037077177571:-0.06455279219668017:0.7130226455992242
847=>496	0.43004681195729827:0.1642650698783543:0.6288548804169559
861=>496	0.09220703213245113:0.1246725654790237:0.5253662590875229
879=>496	0.14019514750888173:-1.2519962018362374:0.6875749026909619
890=>709	-0.18783343160585125:0.03164296772041429:0.5872859636305549
895=>496	0.5279672896266956:-0.0547487373084513:0.5682040943650633
896=>451	0.35716655794819974:-0.18965088175075692:0.37705826681397075
902=>709	0.10559441004149715:-0.11582120859763326:0.4891800706082514
914=>451	0.33643730814825284:-0.035934666384041074:0.4906694301168971
