1=>352	0.145205:0.164936:0.731974
2=>352	0.06352:0.504467:1.024462
18=>352	0.476331:0.424091:0.983474
33=>352	-0.242925:0.012758:0.874648
60=>352	0.333563:0.53755:0.594262
68=>352	-0.063692:0.124106:0.738997
100=>352	-0.17935:1.650002:1.275528
127=>352	0.165427:0.500697:0.678955
133=>352	0.008831:0.449891:0.575731
147=>352	-0.325459:0.682404:0.794549
151=>352	0.090156:0.871273:0.826175
162=>352	0.14445:1.002792:0.986342
172=>352	-0.023652:0.091097:0.557105
184=>352	0.179087:0.589516:0.59644
189=>352	0.110598:0.844212:0.773188
190=>352	0.242837:0.023308:0.845102
200=>352	-0.092357:-0.188707:0.663221
208=>352	0.036528:1.181273:1.080804
227=>352	-0.674857:1.643167:1.214567
245=>352	0.035374:0.796592:0.639776
248=>352	-0.3536:1.698561:1.268331
262=>352	0.142838:0.249826:0.644926
294=>352	0.099698:0.522689:0.95312
306=>352	0.444583:-0.170562:0.859556
309=>352	0.107485:0.028186:0.740971
313=>352	-0.279517:1.262419:1.117797
314=>352	-0.035808:1.216379:1.015206
338=>352	-0.169676:1.685596:1.314201
354=>352	-0.0762811572295681:1.3315785680335979:0.9739677889372842
385=>352	0.05622578439106892:0.16393971018831666:0.6035982908510796
408=>352	0.07570457189187883:0.17249673659623968:0.7105941775334281
422=>352	0.4187964919934112:0.5542472402528211:0.6267879125204646
433=>352	0.26923457455332567:0.45322141992842063:0.4644994669868616
446=>352	0.1018735443446717:0.6794423680721112:0.8587937040115973
451=>352	0.04303497630736019:1.3415305237533341:1.0935905749989885
468=>352	0.27424050505969966:-0.06729038001360774:0.7714132754053391
496=>352	0.03763945752748522:1.3699682981161119:1.160815960755134
512=>352	0.4060498702639407:1.4351794282228452:1.066469867427131
513=>352	0.3103783562868133:-0.06955432148944245:0.5613927930638797
516=>352	0.09014177497758559:0.07629210707685552:0.7623950182059931
517=>352	-0.42258789363611554:1.3679814878846714:0.9851061796695756
523=>352	-0.03892511051861506:1.4000747756469503:1.0443526110381804
538=>352	0.10048793092490156:0.9811172920094148:1.0419195492239262
541=>352	-0.13854788378519917:1.3608382089599078:0.9806825158036987
556=>352	0.08105508585181548:-0.36487353392706245:0.8848422105128103
561=>352	0.06035882477890777:0.8334537014490802:1.036167423932359
573=>352	0.30796600894175474:0.7563428636330782:0.5162675918181913
577=>352	-0.4116298306358842:0.7012458854884451:0.7118532101732366
585=>352	0.2728522027101615:0.6341803057098122:0.7040111740653548
586=>352	0.022328874614500265:0.0733261555867808:0.912425409222796
636=>352	0.21531500902267436:0.27652485208648087:0.5029361411922806
637=>352	-0.25428138931706373:1.013766718047646:0.9230116022558403
