0=>20	-0.292419:-0.247095:0.842049
51=>20	0.3266851866844783:-0.40049032506173343:0.8433523593625606
58=>423	0.268493:-0.126932:0.551103
74=>423	-0.156696:-0.150193:0.856183
80=>20	0.07182582199956886:-0.357510690257628:0.8043835686959656
81=>423	0.686707:0.025046:0.667748
90=>423	0.136:-0.083284:0.858572
93=>423	0.220848:-0.250078:0.534881
112=>20	0.3680287182811306:0.06454303338605868:0.8807127432088241
124=>20	-0.42478711294900795:-0.19986437906142385:0.9005374407446363
131=>20	-0.1297761979621457:-0.33836531748875026:0.7356343485332554
146=>958	-0.071291:-0.555859:0.986541
156=>423	0.067572:0.026126:0.552521
160=>20	-0.6716444949870449:-1.1126105482367439:0.8968521386784525
176=>20	0.3338137170161152:0.0427803403813756:0.5572896551993174
184=>423	0.295415:0.03253:0.436469
189=>20	0.12142621434328899:-0.6018187424602252:1.081940785380816
201=>423	0.413504:0.162236:0.787356
207=>423	0.663504:-0.049692:0.827678
221=>20	0.14470249173760363:-0.010459043449390325:0.6888200374993628
222=>423	-0.01184:0.148044:0.676537
227=>20	0.439819483093699:-0.2996553927283766:0.4606433252551849
238=>423	0.245281:0.116944:1.153001
239=>20	-0.04285184129847062:-0.05895347231810023:0.9791797019964494
247=>20	-0.19219087495881407:-0.6527974573869607:0.6779578283112477
273=>20	0.7112638027215705:-0.2479191559824622:0.8145000557932539
277=>958	-0.264271:-0.400712:1.17435
283=>423	0.371693:-0.034727:0.578348
288=>20	-0.3397876176088106:-0.9708161448140161:0.7565091942344921
290=>20	-0.07932139238146717:-0.6765538900545748:0.6450152255843999
293=>423	0.163724:0.100477:0.761877
300=>958	0.690224:-0.319699:0.565556
306=>20	0.9336534260303264:-1.0238699901522306:0.9645219877254931
326=>20	0.4164490206486781:-0.04466129744534502:0.557590140022036
331=>20	0.6304997854496396:-0.27588386076020965:0.7541313199032601
335=>423	0.416604:-1.075031:0.912993
338=>20	0.3342917074376687:-0.1576627624009111:0.9435911759127592
345=>423	1.15539:-0.796098:0.8472
354=>423	0.521229:0.047581:0.795903
367=>20	0.026748870839350007:0.1813972851372324:0.870929926719956
370=>20	0.5158888927933762:0.008177669790814303:0.41833792668376835
380=>20	-0.29875963862066196:-0.5860963210299913:1.0027173640565934
392=>423	0.330149:-0.005042:0.378174
396=>423	-0.089076:-0.039005:0.745622
411=>20	-0.004229152835389139:-0.6731584929830078:0.7801425632520087
414=>958	0.229127:-0.656424:0.798179
418=>20	-0.5855977494175018:-0.5749368254844405:1.025976704172955
419=>20	-0.17522813517326546:-0.05349637914795665:0.781619437312167
435=>958	0.895659:-0.119441:0.828225
440=>423	0.2283181321275713:0.06792397384134098:0.47550823508936946
454=>423	0.30388606881321484:0.12194503407896432:0.5829948562363834
456=>958	0.614635:-0.855974:0.618466
458=>594	0.57002:-0.005096:0.519812
462=>958	-0.505181:-0.289985:1.127089
465=>20	0.47519564177126655:-0.09815388768235972:0.49079152403038
467=>594	-0.153801:-0.195591:0.763761
469=>20	0.4431148047696374:-0.31491839462262144:0.4353447712916244
471=>20	-0.5453496825473756:-0.5543035648982434:0.8812009005873205
477=>20	0.4882178709743172:0.13318321952710965:0.6369751324908276
480=>20	0.5353135632999838:-0.893773138598428:0.7682456419345348
485=>20	-0.0977232532590038:0.0576615009727981:0.8677949157631475
495=>20	0.8168738601963922:-1.0970828203469616:1.0251184780681029
497=>20	0.1637164919582532:-0.17039096550880842:0.4579712879480734
500=>20	-0.24672596181397696:-0.31463791075423075:0.9713085176957843
502=>20	0.7922929283810676:-0.26502419744170436:0.7849940536700435
517=>958	0.29734:0.012046:0.926331
522=>594	0.344068:0.022742:0.431226
526=>20	0.1379145018394587:0.01112855057438807:0.4989039081138738
552=>20	-0.583716957585139:-1.121585858893805:0.983441790572137
553=>20	0.6418801869673125:-0.4421987794988739:0.7221045592959769
562=>423	0.3174784732759785:-0.2420494798655315:0.6226545381864688
565=>20	0.5171592945750714:-0.2829573960595565:0.7905869554733521
585=>958	-0.166817:-0.529837:1.322446
593=>20	0.19238515134089784:-0.34597661051717676:0.8699502649433531
604=>423	0.17915990471948406:-0.412829560199082:0.7746383407246741
610=>20	-0.16106016695489095:-0.44388868314924357:0.6795070855601347
613=>20	0.013920402098630887:-0.1588742191175507:0.9925420391180668
623=>20	-0.19271195001939187:-1.6739820812977018:1.0287462566495587
633=>20	0.19531896775341534:-0.623795815344584:0.5777197747123967
662=>20	0.3484446472092492:-0.16433313723842338:0.8003873874955478
663=>958	0.643865:-0.863514:1.070217
679=>423	-0.281212635649143:-0.13584717640187874:0.7458884762468085
700=>423	-0.11205114894906706:-0.9872232414324542:0.806053786357056
702=>20	-0.4132442039441181:-0.9685490731839559:0.891769502553136
706=>958	-0.319978:-0.494252:1.053661
732=>20	-0.013233984171412755:-0.2593343485472109:0.7542450798707828
739=>423	-0.12613084625064483:-0.4253589350221176:0.6725722998408021
745=>20	0.45922040556118277:-0.41512179144051553:0.4089225259471566
748=>958	-0.16859:0.19262:1.173304
762=>20	0.8638814066003953:-0.26243790522215465:0.9243733211069555
784=>20	-0.6842147768911216:-0.9301064047955659:0.9074261944904711
795=>958	0.052265:-0.776796:1.085398
798=>20	0.6673946201344393:-0.5706576319613622:0.8191524393540491
805=>423	0.6203493219460953:-0.25021814612439064:0.626406674488398
807=>423	0.3290585303061266:-0.0107564349103383:0.8732999034130308
818=>652	0.5853185321500303:-0.6113779149723467:0.9893839106388452
821=>958	0.10546:-0.258114:0.980603
822=>423	0.5316899333401807:-0.8109085368009685:0.8418769815679454
838=>423	0.8831961862390192:-0.813355547157501:0.6712477085281351
843=>20	0.5687086183043418:-0.0008936062929179405:0.5742971034176996
846=>20	0.8528455896771:-0.4497286488509608:0.7455726034873413
853=>20	0.7750889558908395:-0.9924036452627323:0.7715168329542613
855=>594	-1.6396023876233403:-0.5021990498233646:0.9745401388719699
857=>20	0.55849243934433:-0.5055446099342057:0.6455477860293131
867=>20	0.7395117862332877:-0.6872791926570622:0.7201217869966169
871=>20	0.9733404083111744:-0.45290444100872196:0.9955409719864727
873=>20	-0.12263459251034516:-0.3716277695872224:0.6593470354438593
876=>20	0.44861742520985504:-0.22508555958522758:0.8513391564931637
879=>20	0.6947067688459935:0.06197967101676981:0.6412928463782986
893=>20	0.15570994473357602:-0.04094599617424858:0.7161646233296355
894=>20	0.3837926961383244:-0.13229934967132762:0.4615861114278104
896=>20	0.5419163669995292:-0.7510782803023436:0.8021426835362621
