100=>352	-0.17935:1.650002:1.275528
151=>352	0.090156:0.871273:0.826175
162=>352	0.14445:1.002792:0.986342
208=>352	0.036528:1.181273:1.080804
227=>352	-0.674857:1.643167:1.214567
248=>352	-0.3536:1.698561:1.268331
313=>352	-0.279517:1.262419:1.117797
314=>352	-0.035808:1.216379:1.015206
338=>352	-0.169676:1.685596:1.314201
354=>352	-0.0762811572295681:1.3315785680335979:0.9739677889372842
451=>352	0.04303497630736019:1.3415305237533341:1.0935905749989885
496=>352	0.03763945752748522:1.3699682981161119:1.160815960755134
512=>352	0.4060498702639407:1.4351794282228452:1.066469867427131
517=>352	-0.42258789363611554:1.3679814878846714:0.9851061796695756
523=>352	-0.03892511051861506:1.4000747756469503:1.0443526110381804
538=>352	0.10048793092490156:0.9811172920094148:1.0419195492239262
541=>352	-0.13854788378519917:1.3608382089599078:0.9806825158036987
561=>352	0.06035882477890777:0.8334537014490802:1.036167423932359
585=>352	0.2728522027101615:0.6341803057098122:0.7040111740653548
670=>352	0.17907700693563258:1.12047365468372:0.884872746450333
689=>352	-0.14039950903968956:1.080462338982501:0.9011753128430099
693=>352	0.1156526284830011:1.4709787582531446:1.039275251010955
709=>352	-0.11083281434747683:1.6823750146669916:1.1282301228416958
710=>352	0.16302732396847067:0.9757722709058082:0.688053194768594
724=>352	-0.34147514211148605:0.7122112105841949:0.9391143963419617
744=>352	0.2423206962164457:1.3414892770234927:0.9475942477238786
746=>352	0.24144577371982145:1.163137313758103:1.0279668665719566
751=>352	0.05709146647946065:1.0559059206672952:0.8307959440542011
771=>352	-0.017987397171455203:1.145351947157272:1.0130891113182316
777=>352	-0.018745943922751158:0.7774574168485298:0.6036952184320223
783=>352	-0.21312030893585607:1.3471155575326776:0.946494657037661
785=>352	0.15083020210905584:0.9489245119942598:0.9592721810108235
786=>352	0.10888217056219926:0.7688711701888398:0.7422654088731891
787=>352	-0.10600846688841851:1.2554954137687733:1.0079629069650238
798=>352	-0.19202893772322846:1.081440699608065:1.1989444493068302
844=>352	-0.2394312758746752:1.42703909731348:0.9880544220375659
847=>352	0.07142883576687581:1.215286631275292:0.9251840653698052
861=>352	0.05204579997302769:0.9614511102083569:0.8273714326846465
890=>352	-0.5595853049116186:1.0694976826531064:1.03291593200521
895=>352	0.4649305019763315:0.7601979892459079:0.7913239244918711
902=>352	-0.2930585156272172:0.8884418882653801:0.6921895408775994
923=>352	0.19747185066491602:0.9391523022636082:1.0797596886836867
954=>352	-0.19631648190531464:1.4799973382147276:1.090895603472539
968=>352	-0.23874054552787585:1.588434190244145:1.1049784805440914
982=>352	0.32607025327562206:0.8482975015013923:0.699134960313604
1004=>352	0.0871272401377924:0.9450616611638913:0.6223685479830592
